date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:01	289/289	---MCZ	200	added ('OK')	text/css	etag:W/%2267f28c25-121%22	https://juridia.ma/wp-content/uploads/elementor/css/post-28.css?ver=1743948837	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/elementor/css/post-2891c5.css	(from https://juridia.ma/)
14:42:01	440/440	---MCZ	200	added ('OK')	text/css	etag:W/%2267f28cda-1b8%22	https://juridia.ma/wp-content/uploads/elementor/css/post-9.css?ver=1743949018	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/elementor/css/post-90037.css	(from https://juridia.ma/)
14:42:02	75/75	---MCZ	200	added ('OK')	text/css	etag:W/%2267eff694-4b%22	https://juridia.ma/wp-content/uploads/elementor/css/post-13.css?ver=1743779476	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/elementor/css/post-13b3fd.css	(from https://juridia.ma/)
14:42:02	20400/20400	---MCZ	200	added ('OK')	text/css	etag:W/%2267eaa5bf-4fb0%22	https://juridia.ma/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.34.0	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min705c.css	(from https://juridia.ma/)
14:42:03	10310/10310	---MCZ	200	added ('OK')	text/css	etag:W/%2267eaa5bc-2846%22	https://juridia.ma/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.24.3	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/css/widget-icon-list.min44b4.css	(from https://juridia.ma/)
14:42:03	5150/5150	---MCZ	200	added ('OK')	text/css	etag:W/%2267eaa5bc-141e%22	https://juridia.ma/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css?ver=3.24.0	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/css/widget-social-icons.min2401.css	(from https://juridia.ma/)
14:42:03	732/732	---MCZ	200	added ('OK')	text/css	etag:W/%2267eaa5bf-2dc%22	https://juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.css?ver=5.15.3	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands52d5.css	(from https://juridia.ma/)
14:42:04	72184/72184	---MCZ	200	added ('OK')	text/css	etag:W/%2267eaa5bf-119f8%22	https://juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.css?ver=5.15.3	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome52d5.css	(from https://juridia.ma/)
14:42:05	727/727	---MCZ	200	added ('OK')	text/css	etag:W/%2267eaa5bf-2d7%22	https://juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.css?ver=5.15.3	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid52d5.css	(from https://juridia.ma/)
14:42:05	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Apr%202025%2023:42:58%20GMT	https://juridia.ma/wp-content/plugins/elementor-pro/assets/css/widget-blockquote.min.css?ver=3.25.0	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor-pro/assets/css/widget-blockquote.min.f503b.delayed	(from https://juridia.ma/)
14:42:06	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Apr%202025%2023:42:59%20GMT	https://juridia.ma/wp-content/plugins/elementor-pro/assets/css/widget-mega-menu.min.css?ver=3.26.2	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor-pro/assets/css/widget-mega-menu.min.109e35.delayed	(from https://juridia.ma/)
14:42:06	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Apr%202025%2023:42:59%20GMT	https://juridia.ma/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.26.0	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.1142e3.delayed	(from https://juridia.ma/)
14:42:06	103518/103518	---MCZ	200	added ('OK')	text/css	etag:W/%2267eaa606-1945e%22	https://juridia.ma/wp-content/uploads/elementor/google-fonts/css/roboto.css?ver=1743431174	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/elementor/google-fonts/css/roboto0b7f.css	(from https://juridia.ma/)
14:42:07	23436/23436	---MCZ	200	added ('OK')	text/css	etag:W/%2267eaa60a-5b8c%22	https://juridia.ma/wp-content/uploads/elementor/google-fonts/css/robotoslab.css?ver=1743431178	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/elementor/google-fonts/css/robotoslab9b2c.css	(from https://juridia.ma/)
14:42:07	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267eaa1d0-15601%22	https://juridia.ma/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-includes/js/jquery/jquery.minf43b.js	(from https://juridia.ma/)
14:42:08	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267eaa1cf-3509%22	https://juridia.ma/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://juridia.ma/)
14:42:09	838/838	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267eaa1c4-346%22	https://juridia.ma/wp-content/plugins/app_service_email/public/js/app_service_email-public.js?ver=1.2.1	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/app_service_email/public/js/app_service_email-public1576.js	(from https://juridia.ma/)
14:42:10	276143/276143	---MCZ	200	added ('OK')	application/json	date:Fri,%2011%20Apr%202025%2023:43:03%20GMT	https://juridia.ma/wp-json/	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-json/index.html	(from https://juridia.ma/)
14:42:10	119094/119094	---MCZ	200	added ('OK')	application/json	date:Fri,%2011%20Apr%202025%2023:43:03%20GMT	https://juridia.ma/wp-json/wp/v2/pages/28	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-json/wp/v2/pages/28.json	(from https://juridia.ma/)
14:42:10	2264/2264	---M--	405	error ('Not%20Allowed')	text/html	etag:%2267eaa16b-8d8%22	https://juridia.ma/xmlrpc.php?rsd	C:/Mes%20Sites%20Web/juridia/juridia.ma/xmlrpc.180db0.delayed	(from https://juridia.ma/)
14:42:11	2018/2018	---MCZ	200	added ('OK')	application/json	date:Fri,%2011%20Apr%202025%2023:43:04%20GMT	https://juridia.ma/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjuridia.ma%2F	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-json/oembed/1.0/embed8add.json	(from https://juridia.ma/)
14:42:12	2180/2180	---MCZ	200	added ('OK')	text/xml	date:Fri,%2011%20Apr%202025%2023:43:05%20GMT	https://juridia.ma/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjuridia.ma%2F&format=xml	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-json/oembed/1.0/embed3f57	(from https://juridia.ma/)
14:42:12	326628/326628	---M--	200	added ('OK')	font/woff2	etag:%2267eaa914-4fbe4%22	https://juridia.ma/wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2	(from https://juridia.ma/)
14:42:13	146060/146060	---M--	200	added ('OK')	font/woff2	etag:%2267eaa914-23a8c%22	https://juridia.ma/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_400.woff2	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_400.woff2	(from https://juridia.ma/)
14:42:13	105184/105184	---M--	200	added ('OK')	font/woff2	etag:%2267eaa914-19ae0%22	https://juridia.ma/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_italic_400.woff2	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_italic_400.woff2	(from https://juridia.ma/)
14:42:14	132564/132564	---M--	200	added ('OK')	font/woff2	etag:%2267eaa914-205d4%22	https://juridia.ma/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_700.woff2	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_700.woff2	(from https://juridia.ma/)
14:42:15	8258/8258	---M--	200	added ('OK')	image/png	etag:%2267ec23c1-2042%22	https://juridia.ma/wp-content/uploads/2025/04/site-logo-150x150.png	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/2025/04/site-logo-150x150.png	(from https://juridia.ma/)
14:42:15	20821/20821	---M--	200	added ('OK')	image/png	etag:%2267ec23c1-5155%22	https://juridia.ma/wp-content/uploads/2025/04/site-logo-300x300.png	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/2025/04/site-logo-300x300.png	(from https://juridia.ma/)
14:42:16	58676/58676	---M--	200	added ('OK')	image/png	etag:%2267eaa6a8-e534%22	https://www.juridia.ma/wp-content/uploads/2025/03/logo_full.png	C:/Mes%20Sites%20Web/juridia/www.juridia.ma/wp-content/uploads/2025/03/logo_full.png	(from https://juridia.ma/)
14:42:16	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2011%20Apr%202025%2023:43:09%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Mes%20Sites%20Web/juridia/www.googletagmanager.com/gtm.225445.delayed	(from https://juridia.ma/)
14:42:17	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Mes%20Sites%20Web/juridia/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://juridia.ma/)
14:42:38	695692/695692	---M--	200	added ('OK')	image/jpeg	etag:%2267eaa59a-a9d8c%22	https://juridia.ma/wp-content/uploads/2025/03/cdg_prevoyance.jpg	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/2025/03/cdg_prevoyance.jpg	(from https://juridia.ma/)
14:42:39	5946934/5946934	---M--	200	added ('OK')	image/gif	etag:%2267eaa6a0-5abe36%22	https://juridia.ma/wp-content/uploads/2025/03/search_v2.gif	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/2025/03/search_v2.gif	(from https://juridia.ma/)
14:42:42	9637/9637	---M--	200	added ('OK')	image/svg+xml	etag:%2267eaa68d-25a5%22	https://juridia.ma/wp-content/uploads/2025/03/sanlam.svg	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/2025/03/sanlam.svg	(from https://juridia.ma/)
14:42:43	29152/29152	---M--	200	added ('OK')	image/png	etag:%2267eaa68b-71e0%22	https://juridia.ma/wp-content/uploads/2025/03/grant_thornton.png	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/2025/03/grant_thornton.png	(from https://juridia.ma/)
14:42:45	181611/181611	---M--	200	added ('OK')	image/jpeg	etag:0x8DD706F686274B5	https://juridiawor-339d0f783f-endpoint.azureedge.net/blobjuridiawor339d0f783f/wp-content/uploads/2025/03/Contrat.jpg	C:/Mes%20Sites%20Web/juridia/juridiawor-339d0f783f-endpoint.azureedge.net/blobjuridiawor339d0f783f/wp-content/uploads/2025/03/Contrat.jpg	(from https://juridia.ma/)
14:42:47	34805/34805	---M--	200	added ('OK')	image/png	etag:%2267ebd702-87f5%22	https://juridia.ma/wp-content/uploads/2025/04/logo-cmi-open.png	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/2025/04/logo-cmi-open.png	(from https://juridia.ma/)
14:42:47	169933/169933	---M--	200	added ('OK')	image/jpeg	etag:%2267eaa687-297cd%22	https://juridia.ma/wp-content/uploads/2025/03/mtl.jpeg	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/2025/03/mtl.jpg	(from https://juridia.ma/)
14:42:49	17450/17450	---M--	200	added ('OK')	image/png	etag:%2267ebd431-442a%22	https://juridia.ma/wp-content/uploads/2025/04/mastercard_secure.png	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/2025/04/mastercard_secure.png	(from https://juridia.ma/)
14:42:49	142472/142472	---M--	200	added ('OK')	image/jpeg	etag:%2267ebd3eb-22c88%22	https://juridia.ma/wp-content/uploads/2025/04/verified_by_visa.jpeg	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/2025/04/verified_by_visa.jpg	(from https://juridia.ma/)
14:42:50	61456/61456	---M--	200	added ('OK')	image/png	etag:%2267ebd42b-f010%22	https://juridia.ma/wp-content/uploads/2025/04/RapidSSL.png	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/2025/04/RapidSSL.png	(from https://juridia.ma/)
14:42:50	36125/36125	---M--	200	added ('OK')	image/png	etag:%2267ebd43f-8d1d%22	https://juridia.ma/wp-content/uploads/2025/04/payzone.png	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/2025/04/payzone.png	(from https://juridia.ma/)
14:42:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Apr%202025%2023:43:44%20GMT	https://juridia.ma/condition-generales-de-vente-et-utilisation	C:/Mes%20Sites%20Web/juridia/juridia.ma/condition-generales-de-vente-et-utilisation.31.delayed	(from https://juridia.ma/)
14:42:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Apr%202025%2023:43:44%20GMT	https://juridia.ma/politiques-de-confidentialite	C:/Mes%20Sites%20Web/juridia/juridia.ma/politiques-de-confidentialite.32.delayed	(from https://juridia.ma/)
14:42:52	81016/81016	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Apr%202025%2023:43:44%20GMT	https://juridia.ma/condition-generales-de-vente-et-utilisation/	C:/Mes%20Sites%20Web/juridia/juridia.ma/condition-generales-de-vente-et-utilisation/index.html	(from https://juridia.ma/)
14:42:52	74342/74342	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Apr%202025%2023:43:45%20GMT	https://juridia.ma/politiques-de-confidentialite/	C:/Mes%20Sites%20Web/juridia/juridia.ma/politiques-de-confidentialite/index.html	(from https://juridia.ma/)
14:42:53	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Apr%202025%2023:43:45%20GMT	https://juridia.ma/cookies	C:/Mes%20Sites%20Web/juridia/juridia.ma/cookies.33.delayed	(from https://juridia.ma/)
14:42:53	3026/3026	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267eaaaa2-bd2%22	https://juridia.ma/wp-includes/js/comment-reply.min.js?ver=6.7.2	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-includes/js/comment-reply.mind1c0.js	(from https://juridia.ma/)
14:42:53	70545/70545	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Apr%202025%2023:43:46%20GMT	https://juridia.ma/cookies/	C:/Mes%20Sites%20Web/juridia/juridia.ma/cookies/index.html	(from https://juridia.ma/)
14:42:54	6262/6262	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267eaa5ad-1876%22	https://juridia.ma/wp-content/plugins/pro-elements/assets/js/webpack-pro.runtime.min.js?ver=3.28.1	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/pro-elements/assets/js/webpack-pro.runtime.min1b64.js	(from https://juridia.ma/)
14:42:54	14824780/14824780	---M--	200	added ('OK')	image/gif	etag:%2267eaa696-e2354c%22	https://juridia.ma/wp-content/uploads/2025/03/chat_v2.gif	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/2025/03/chat_v2.gif	(from https://juridia.ma/)
14:42:54	5407/5407	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267eaa5bf-151f%22	https://juridia.ma/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.28.2	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/js/webpack.runtime.min414b.js	(from https://juridia.ma/)
14:42:55	48393/48393	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267eaa5bf-bd09%22	https://juridia.ma/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.28.2	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/js/frontend-modules.min414b.js	(from https://juridia.ma/)
14:42:55	4776/4776	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267eaaaa2-12a8%22	https://juridia.ma/wp-includes/js/dist/hooks.min.js?ver=4d63a3d491d11ffd8ac6	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-includes/js/dist/hooks.min4fdd.js	(from https://juridia.ma/)
14:42:56	16446492/16446492	---M--	200	added ('OK')	image/gif	etag:%2267eaa69c-faf41c%22	https://juridia.ma/wp-content/uploads/2025/03/contract_v2.gif	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/2025/03/contract_v2.gif	(from https://juridia.ma/)
14:42:56	9141/9141	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267eaa1d0-23b5%22	https://juridia.ma/wp-includes/js/dist/i18n.min.js?ver=5e580eb46a90c2b997e6	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-includes/js/dist/i18n.minc33c.js	(from https://juridia.ma/)
14:42:56	24209/24209	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267eaa5ad-5e91%22	https://juridia.ma/wp-content/plugins/pro-elements/assets/js/frontend.min.js?ver=3.28.1	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/pro-elements/assets/js/frontend.min1b64.js	(from https://juridia.ma/)
14:42:57	21464/21464	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267eaa1d0-53d8%22	https://juridia.ma/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-includes/js/jquery/ui/core.minb37e.js	(from https://juridia.ma/)
14:42:57	44243/44243	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267eaa5bf-acd3%22	https://juridia.ma/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.28.2	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/js/frontend.min414b.js	(from https://juridia.ma/)
14:42:59	44707/44707	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267eaa5ad-aea3%22	https://juridia.ma/wp-content/plugins/pro-elements/assets/js/elements-handlers.min.js?ver=3.28.1	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/pro-elements/assets/js/elements-handlers.min1b64.js	(from https://juridia.ma/)
14:42:59	224340/224340	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2267eaa5bf-36c54%22	https://juridia.ma/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.36.0	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsfcca.eot	(from https://juridia.ma/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.34.0)
14:42:59	99440/99440	---M--	200	added ('OK')	font/woff2	etag:%2267eaa5bf-18470%22	https://juridia.ma/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.36.0	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsfcca.woff2	(from https://juridia.ma/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.34.0)
14:43:00	122324/122324	---M--	200	added ('OK')	font/woff	etag:%2267eaa5bf-1ddd4%22	https://juridia.ma/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.36.0	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsfcca.woff	(from https://juridia.ma/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.34.0)
14:43:01	224180/224180	---M--	200	added ('OK')	application/octet-stream	etag:%2267eaa5bf-36bb4%22	https://juridia.ma/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf?5.36.0	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsfcca.ttf	(from https://juridia.ma/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.34.0)
14:43:01	340251/340251	---M--	200	added ('OK')	image/svg+xml	etag:%2267eaa5bf-5311b%22	https://juridia.ma/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg?5.36.0	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsfcca.svg	(from https://juridia.ma/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.34.0)
14:43:02	151556/151556	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2267eaa5bf-25004%22	https://juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	(from https://juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.css?ver=5.15.3)
14:43:02	151556/151556	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2267eaa5bf-25004%22	https://juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot?	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400d41d.eot	(from https://juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.css?ver=5.15.3)
14:43:03	81612/81612	---M--	200	added ('OK')	font/woff2	etag:%2267eaa5bf-13ecc%22	https://juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2	(from https://juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.css?ver=5.15.3)
14:43:03	97804/97804	---M--	200	added ('OK')	font/woff	etag:%2267eaa5bf-17e0c%22	https://juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff	(from https://juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.css?ver=5.15.3)
14:43:04	151368/151368	---M--	200	added ('OK')	application/octet-stream	etag:%2267eaa5bf-24f48%22	https://juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.ttf	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.ttf	(from https://juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.css?ver=5.15.3)
14:43:05	749223/749223	---M--	200	added ('OK')	image/svg+xml	etag:%2267eaa5bf-b6ea7%22	https://juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg	(from https://juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.css?ver=5.15.3)
14:43:05	203030/203030	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2267eaa5bf-31916%22	https://juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	(from https://juridia.ma/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.css?ver=5.15.3)
